Year,Month,Day,Hour,Min,Sec,Weekday,Miles,Minutes,Status
2017,11,14,13,56,16,1,17.8,23.0,OK
2017,11,14,14,11,21,1,17.8,22.0,OK
2017,11,14,14,26,26,1,17.8,25.0,OK
2017,11,14,14,41,30,1,17.8,27.0,OK
2017,11,14,14,56,35,1,17.8,28.0,OK
2017,11,14,15,11,39,1,17.8,29.0,OK
2017,11,14,15,26,43,1,17.8,33.0,OK
2017,11,14,15,41,47,1,17.8,37.0,OK
2017,11,14,15,56,52,1,15.4,38.0,OK
2017,11,14,16,11,56,1,17.8,42.0,OK
2017,11,14,16,27,01,1,15.1,45.0,OK
2017,11,14,16,42,05,1,15.1,45.0,OK
2017,11,14,16,57,10,1,15.1,49.0,OK
2017,11,14,17,12,15,1,15.1,50.0,OK
2017,11,14,17,27,20,1,15.1,55.0,OK
2017,11,14,17,42,24,1,15.1,53.0,OK
2017,11,14,17,57,29,1,15.1,54.0,OK
2017,11,14,18,12,33,1,15.1,52.0,OK
2017,11,14,18,27,38,1,17.8,46.0,OK
2017,11,14,18,42,43,1,17.8,35.0,OK
2017,11,14,18,57,47,1,17.8,39.0,OK
2017,11,14,19,12,52,1,17.8,31.0,OK
2017,11,14,19,27,57,1,17.8,31.0,OK
2017,11,14,19,43,03,1,17.8,26.0,OK
2017,11,14,19,58,07,1,17.8,22.0,OK
2017,11,14,20,13,13,1,17.8,22.0,OK
2017,11,14,20,28,18,1,17.8,22.0,OK
2017,11,14,20,43,23,1,17.8,22.0,OK
2017,11,14,20,58,28,1,17.8,21.0,OK
2017,11,14,21,13,34,1,17.8,21.0,OK
2017,11,14,21,28,39,1,17.8,21.0,OK
2017,11,14,21,43,45,1,17.8,21.0,OK
2017,11,14,21,58,49,1,17.8,21.0,OK
2017,11,14,22,13,54,1,17.8,21.0,OK
2017,11,14,22,28,59,1,17.8,21.0,OK
2017,11,14,22,44,04,1,17.8,20.0,OK
2017,11,14,22,59,09,1,17.8,21.0,OK
2017,11,14,23,14,13,1,17.8,20.0,OK
2017,11,14,23,29,19,1,17.8,20.0,OK
2017,11,14,23,44,24,1,17.8,21.0,OK
2017,11,14,23,59,29,1,17.8,20.0,OK
2017,11,15,00,14,33,2,17.8,21.0,OK
2017,11,15,00,29,38,2,17.8,21.0,OK
2017,11,15,00,44,43,2,15.1,18.0,OK
2017,11,15,00,59,48,2,15.1,19.0,OK
2017,11,15,01,14,53,2,15.1,19.0,OK
2017,11,15,01,29,58,2,15.1,19.0,OK
2017,11,15,01,45,03,2,15.1,20.0,OK
2017,11,15,02,00,08,2,15.1,19.0,OK
2017,11,15,02,15,12,2,15.1,19.0,OK
2017,11,15,02,30,17,2,15.1,19.0,OK
2017,11,15,02,45,22,2,15.1,19.0,OK
2017,11,15,03,00,27,2,15.1,19.0,OK
2017,11,15,03,15,32,2,15.1,19.0,OK
2017,11,15,03,30,37,2,15.1,19.0,OK
2017,11,15,03,45,42,2,15.1,19.0,OK
2017,11,15,04,00,47,2,15.1,18.0,OK
2017,11,15,04,15,52,2,15.1,19.0,OK
2017,11,15,04,30,57,2,15.1,19.0,OK
2017,11,15,04,46,02,2,15.1,20.0,OK
2017,11,15,05,01,07,2,15.1,20.0,OK
2017,11,15,05,16,13,2,15.1,21.0,OK
2017,11,15,05,31,17,2,15.1,21.0,OK
2017,11,15,05,46,22,2,15.1,21.0,OK
2017,11,16,23,12,28,3,15.1,21.0,OK
2017,11,16,23,27,33,3,15.1,21.0,OK
2017,11,16,23,42,38,3,15.1,21.0,OK
2017,11,16,23,57,43,3,15.1,21.0,OK
2017,11,17,00,12,48,4,15.1,21.0,OK
2017,11,17,00,27,53,4,15.1,20.0,OK
2017,11,17,00,42,59,4,15.1,20.0,OK
2017,11,17,00,58,04,4,15.1,20.0,OK
2017,11,17,01,13,09,4,15.1,20.0,OK
2017,11,17,01,28,14,4,15.1,20.0,OK
2017,11,17,01,43,19,4,15.1,20.0,OK
2017,11,17,01,58,24,4,15.1,20.0,OK
2017,11,17,02,13,30,4,15.1,20.0,OK
2017,11,17,02,28,35,4,15.1,20.0,OK
2017,11,17,02,43,39,4,15.1,20.0,OK
2017,11,17,02,58,44,4,15.1,20.0,OK
2017,11,17,03,13,49,4,15.1,21.0,OK
2017,11,17,03,28,54,4,15.1,21.0,OK
2017,11,17,03,43,58,4,15.1,20.0,OK
2017,11,17,03,59,04,4,15.1,20.0,OK
2017,11,17,04,14,09,4,15.1,20.0,OK
2017,11,17,04,29,14,4,15.1,20.0,OK
2017,11,17,04,44,19,4,15.1,20.0,OK
2017,11,17,04,59,24,4,15.1,20.0,OK
2017,11,17,05,14,29,4,15.1,20.0,OK
2017,11,17,05,29,34,4,15.1,20.0,OK
2017,11,17,05,44,38,4,15.1,20.0,OK
2017,11,17,05,59,43,4,15.1,21.0,OK
2017,11,17,06,14,47,4,15.1,21.0,OK
2017,11,17,06,29,52,4,15.1,21.0,OK
2017,11,17,06,44,57,4,15.1,22.0,OK
2017,11,17,07,00,02,4,15.1,23.0,OK
2017,11,17,07,15,06,4,15.1,24.0,OK
2017,11,17,07,30,11,4,15.1,29.0,OK
2017,11,17,07,45,15,4,15.1,32.0,OK
2017,11,17,08,00,20,4,15.1,32.0,OK
2017,11,17,08,15,25,4,15.1,31.0,OK
2017,11,17,08,30,30,4,15.1,31.0,OK
2017,11,17,08,45,36,4,15.1,29.0,OK
2017,11,17,09,00,41,4,15.1,31.0,OK
2017,11,17,09,15,47,4,15.1,28.0,OK
2017,11,17,09,30,53,4,15.1,28.0,OK
2017,11,17,09,45,58,4,15.1,25.0,OK
2017,11,17,10,01,03,4,15.1,24.0,OK
2017,11,17,10,16,08,4,15.1,23.0,OK
2017,11,17,10,31,13,4,15.1,22.0,OK
2017,11,17,10,46,19,4,15.1,23.0,OK
2017,11,17,11,01,25,4,15.1,22.0,OK
2017,11,17,11,16,31,4,15.1,23.0,OK
2017,11,17,11,31,36,4,15.1,22.0,OK
2017,11,17,11,46,41,4,15.1,22.0,OK
2017,11,17,12,01,46,4,15.1,22.0,OK
2017,11,17,12,16,52,4,15.1,22.0,OK
2017,11,17,12,31,57,4,15.1,22.0,OK
2017,11,17,12,47,02,4,15.1,23.0,OK
2017,11,17,13,02,08,4,15.1,22.0,OK
2017,11,17,13,17,13,4,15.1,22.0,OK
2017,11,17,13,32,18,4,15.1,23.0,OK
2017,11,17,13,47,23,4,15.1,22.0,OK
2017,11,17,14,02,28,4,15.1,24.0,OK
2017,11,17,14,17,33,4,15.1,27.0,OK
2017,11,17,14,32,38,4,15.1,27.0,OK
